,id,Unnamed: 1,link,position,decl_title,decl_link
155,ՀԿ_25,5,http://cpcarmenia.am//hy/declarations-registry/user_id=3516/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՔՆՆՉԱԿԱՆ ԱՌԱՋԻՆ ՎԱՐՉՈՒԹՅԱՆ ՀԱՏԿԱՊԵՍ ԿԱՐԵՎՈՐ ԳՈՐԾԵՐՈՎ ԱՎԱԳ ՔՆՆԻՉ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=93444/
161,ՀԿ_26,5,http://cpcarmenia.am//hy/declarations-registry/user_id=3515/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՔՆՆՉԱԿԱՆ ԱՌԱՋԻՆ ՎԱՐՉՈՒԹՅԱՆ ՀԱՏԿԱՊԵՍ ԿԱՐԵՎՈՐ ԳՈՐԾԵՐՈՎ ԱՎԱԳ ՔՆՆԻՉ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=96817/
167,ՀԿ_27,5,http://cpcarmenia.am//hy/declarations-registry/user_id=3508/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՔՆՆՉԱԿԱՆ ԵՐԿՐՈՐԴ ՎԱՐՉՈՒԹՅԱՆ ՀԱՏԿԱՊԵՍ ԿԱՐԵՎՈՐ ԳՈՐԾԵՐՈՎ ԱՎԱԳ ՔՆՆԻՉ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=92617/
173,ՀԿ_28,5,http://cpcarmenia.am//hy/declarations-registry/user_id=4816/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՔՆՆՉԱԿԱՆ ԵՐՐՈՐԴ ՎԱՐՉՈՒԹՅԱՆ ՀԱՏԿԱՊԵՍ ԿԱՐԵՎՈՐ ԳՈՐԾԵՐՈՎ ՔՆՆԻՉ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=87010/
180,ՀԿ_29,6,http://cpcarmenia.am//hy/declarations-registry/user_id=5627/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՔՆՆՉԱԿԱՆ ԱՌԱՋԻՆ ՎԱՐՉՈՒԹՅԱՆ ՀԱՏԿԱՊԵՍ ԿԱՐԵՎՈՐ ԳՈՐԾԵՐՈՎ ԱՎԱԳ ՔՆՆԻՉ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=94533/
184,ՀԿ_30,3,http://cpcarmenia.am//hy/declarations-registry/user_id=17614/,ՀՀ քննչական կոմիտեի Երևան քաղաքի քննչական վարչության Երևան քաղաքի Ավան և Նոր Նորք վարչական շրջանների քննչական բաժնի ավագ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=96454/
186,ՀԿ_30,5,http://cpcarmenia.am//hy/declarations-registry/user_id=17614/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՆԵՐՔԻՆ ԱՆՎՏԱՆԳՈՒԹՅԱՆ ՎԱՐՉՈՒԹՅԱՆ ԱՎԱԳ ՔՆՆԻՉ,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=102011/
192,ՀԿ_31,5,http://cpcarmenia.am//hy/declarations-registry/user_id=4566/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՆԱԽԱԳԱՀ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=86879/
198,ՀԿ_32,5,http://cpcarmenia.am//hy/declarations-registry/user_id=3488/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՆԱԽԱԳԱՀԻ ՏԵՂԱԿԱԼԻ ՊԱՇՏՈՆԱԿԱՏԱՐ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=86726/
202,ՀԿ_33,3,http://cpcarmenia.am//hy/declarations-registry/user_id=4499/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ԳԼԽԱՎՈՐ ՔԱՐՏՈՒՂԱՐԻ  ՏԵՂԱԿԱԼ,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=100264/
